,Date,Home_Team,Away Team,Home Team Win,Draw,Away Team Win
0,6 févr. 17:00,Lorient,Reims,2.6,3.35,2.88
1,6 févr. 19:00,Lyon,Strasbourg,1.47,5,6.75
2,6 févr. 21:00,Lens,Rennes,2.78,3.3,2.65
3,7 févr. 13:00,Brest,Bordeaux,2.6,3.25,2.95
4,7 févr. 15:00,Montpellier,Dijon,1.72,3.8,5.1
5,7 févr. 15:00,Saint-Etienne,Metz,2.1,3.28,3.95
6,7 févr. 15:00,Nice,Angers,2.71,3.15,2.85
7,7 févr. 15:00,Nimes,Monaco,8.5,5,1.41
8,7 févr. 17:00,Nantes,Lille,4.75,3.5,1.85
9,7 févr. 21:00,Marseille,Paris-Saint-Germain,8.1,5.35,1.4
10,14 févr. 19:00,Rennes,Saint-Etienne,2,3.5,3.95
11,14 févr. 19:00,Angers,Nantes,2.25,3,3.7
12,14 févr. 19:00,Lyon,Montpellier,1.42,5.2,7.2
13,14 févr. 19:00,Metz,Strasbourg,3.25,2.95,2.55
14,14 févr. 19:00,Reims,Lens,3.25,3,2.5
15,14 févr. 19:00,Bordeaux,Marseille,2.8,3.3,2.63
16,14 févr. 19:00,Monaco,Lorient,1.41,5,7.4
17,14 févr. 19:00,Dijon,Nimes,2.35,3.5,3.1
18,14 févr. 19:00,Paris-Saint-Germain,Nice,1.18,7.9,15
19,14 févr. 19:00,Lille,Brest,1.55,4.2,6.25
