,Pos,Team,M,W,D,L,G,GA,PTS,xG,xG-G,xGA,xGA-GA,xPTS,xPTS-PTS,reussit_index
0,1,Lille,23,15,6,2,40,15,51,31.96,-8.04,15.15,0.15,42.96,-8.04,0.7056521739130435
1,2,Lyon,23,14,7,2,47,20,49,51.32,4.32,20.78,0.78,50.73,1.73,-0.2291304347826087
2,3,Paris-Saint-Germain,23,15,3,5,53,14,48,55.62,2.62,24.99,10.99,47.38,-0.62,0.3908695652173913
3,4,Monaco,23,14,3,6,46,32,45,44.54,-1.46,24.33,-7.67,43.57,-1.43,-0.20782608695652177
4,5,Rennes,22,10,7,5,31,24,37,27.01,-3.99,19.38,-4.62,35.32,-1.68,0.04772727272727273
5,6,Metz,23,9,8,6,28,21,35,26.88,-1.12,26.3,5.3,32.06,-2.94,0.40695652173913044
6,7,Lens,23,10,5,8,34,33,35,33.77,-0.23,24.64,-8.36,38.83,3.83,-0.52
7,8,Angers,23,10,4,9,29,34,34,26.03,-2.97,30.66,-3.34,28.32,-5.68,0.23086956521739133
8,9,Marseille,21,9,6,6,29,24,33,27.56,-1.44,25.74,1.74,30.4,-2.6,0.2752380952380952
9,10,Bordeaux,23,9,5,9,26,27,32,25.44,-0.56,31.39,4.39,28.38,-3.62,0.3726086956521739
10,11,Montpellier,23,8,5,10,35,42,29,26.86,-8.14,40.77,-1.23,26.14,-2.86,0.4247826086956522
11,12,Reims,23,7,7,9,30,31,28,23.13,-6.87,36.22,5.22,22.5,-5.5,0.7647826086956522
12,13,Brest,23,8,3,12,35,43,27,30.57,-4.43,35.14,-7.86,28.91,1.91,-0.23217391304347829
13,14,Nice,22,7,5,10,24,31,26,24.16,0.16,34.99,3.99,24.91,-1.09,0.22363636363636366
14,15,Strasbourg,23,7,4,12,32,36,25,34.81,2.81,33.03,-2.97,32.21,7.21,-0.5647826086956522
15,16,Saint-Etienne,23,5,8,10,22,36,23,26.98,4.98,30.89,-5.11,30.38,7.38,-0.7595652173913043
16,17,Nantes,23,3,10,10,22,37,19,27.64,5.64,36.61,-0.39,26.43,7.43,-0.5852173913043478
17,18,Lorient,22,5,4,13,27,43,19,26.63,-0.37,31.89,-11.11,26.03,7.03,-0.8077272727272727
18,19,Dijon,23,2,9,12,15,32,15,19.31,4.31,42.89,10.89,15.83,0.83,0.25
19,20,Nimes,22,4,3,15,17,47,15,20.01,3.01,44.47,-2.53,16.11,1.11,-0.3022727272727273
